slug,type,ref,title,date,scope,permalink,image_url
wmcr-vaux-1n-v653-na-0483,NA,V653 / NA - 483,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Alpine Club of  camp at Summit Lake Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35924,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0483.jpg
wmcr-vaux-1n-v653-na-0486,NA,V653 / NA - 486,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Riders preparing to depart Lake Louise Chalet,https://archives.whyte.org/en/permalink/descriptions36487,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0486.jpg
wmcr-vaux-1n-v653-na-0487,NA,V653 / NA - 487,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions35042,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0487.jpg
wmcr-vaux-1n-v653-na-0493,NA,V653 / NA - 493,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions35393,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0493.jpg
wmcr-vaux-1n-v653-na-0488,NA,V653 / NA - 488,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions35925,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0488.jpg
wmcr-vaux-1n-v653-na-0489,NA,V653 / NA - 489,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions35926,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0489.jpg
wmcr-vaux-1n-v653-na-0490,NA,V653 / NA - 490,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions35927,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0490.jpg
wmcr-vaux-1n-v653-na-0491,NA,V653 / NA - 491,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions35928,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0491.jpg
wmcr-vaux-1n-v653-na-0492,NA,V653 / NA - 492,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions35929,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0492.jpg
wmcr-vaux-1n-v653-na-0494,NA,V653 / NA - 494,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions36094,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0494.jpg
wmcr-vaux-1n-v653-na-0495,NA,V653 / NA - 495,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions36095,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0495.jpg
wmcr-vaux-1n-v653-na-0496,NA,V653 / NA - 496,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions36096,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0496.jpg
wmcr-vaux-1n-v653-na-0497,NA,V653 / NA - 497,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Grouse, Selkirk Mountains",https://archives.whyte.org/en/permalink/descriptions36097,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0497.jpg
wmcr-vaux-1v-v653-ps-003,PS,V653 / PS - 3,"Bridge at Spuzzum, Fraser River / W.S.V.Jr.",[between 1900 and 1906],Hand-coloured by Mary M. Vaux,https://archives.whyte.org/en/permalink/descriptions34103,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1v-v653-ps-003.jpg
wmcr-vaux-1n-v653-na-1388,NA,V653 / NA - 1388,Camp at Summit Lake (No.1) 1906,1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35045,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1388.jpg
wmcr-vaux-1n-v653-na-1389,NA,V653 / NA - 1389,Camp at Summit Lake (No.2) 1906,1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions36823,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1389.jpg
wmcr-vaux-1n-v653-na-1390,NA,V653 / NA - 1390,Camp at Summit Lake (No.3) 1906,1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions36824,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1390.jpg
wmcr-vaux-1v-v653-ps-098,PS,V653 / PS - 98,"Emerald Group from Wapta, Yoho 1906 / Vaux",1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions34196,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1v-v653-ps-098.jpg
