ps_slug,type,ref,title,date,scope,permalink,image_url
wmcr-vaux-1n-v653-na-1455,NA,V653 / NA - 1455,Pan from Horseshoe Glacier in Paradise Valley 1906 (No.69?) : [pan 4 of 8],1906,Portion of 8-part panorama No.66? to 73 : WMCR-V653/NA-1452 to 1459 Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions36633,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1455.jpg
wmcr-vaux-1n-v653-na-1456,NA,V653 / NA - 1456,Pan from Horseshoe Glacier in Paradise Valley 1906 (No.70?) : [pan 5 of 8],1906,Portion of 8-part panorama No.66? to 73 : WMCR-V653/NA-1452 to 1459 Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions36634,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1456.jpg
wmcr-vaux-1n-v653-na-1457,NA,V653 / NA - 1457,Pan from Horseshoe Glacier in Paradise Valley 1906 (No.71?) : [pan 6 of 8],1906,Portion of 8-part panorama No.66? to 73 : WMCR-V653/NA-1452 to 1459 Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions36635,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1457.jpg
wmcr-vaux-1n-v653-na-1458,NA,V653 / NA - 1458,Pan from Horseshoe Glacier in Paradise Valley 1906 (No.72?) : [pan 7 of 8],1906,Portion of 8-part panorama No.66? to 73 : WMCR-V653/NA-1452 to 1459 Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions36636,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1458.jpg
wmcr-vaux-1n-v653-na-1459,NA,V653 / NA - 1459,Pan from Horseshoe Glacier in Paradise Valley 1906 (No.73?) : [pan 8 of 8],1906,Portion of 8-part panorama No.66? to 73 : WMCR-V653/NA-1452 to 1459 Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions36637,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1459.jpg
wmcr-vaux-1v-v653-ps-089,PS,V653 / PS - 89,"Seracs, Asulkan Glacier",[between 1900 and 1906],Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions34187,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1v-v653-ps-089.jpg
wmcr-vaux-1n-v653-na-1441,NA,V653 / NA - 1441,Sir Donald & Illecillewaet Glacier from Natural Bridge (No.55) 1906,1906,Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35070,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1441.jpg
wmcr-vaux-1n-v653-na-1445,NA,V653 / NA - 1445,"Test picture, Glacier (No.60) 1906",1906,Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35074,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1445.jpg
wmcr-vaux-1n-v653-na-1443,NA,V653 / NA - 1443,Test picture of Asulkan Glacier (No.58) 1906,1906,Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35072,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1443.jpg
wmcr-vaux-1n-v653-na-1401,NA,V653 / NA - 1401,"Test picture, Wapta Glacier (No.14) 1906",1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35053,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1401.jpg
